Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
UpdateTransaction,Chrome 66.0.3359.139,,2018-05-10 13:54:57,2018-05-10 13:56:38,1m - 40.941s,FAILED
,,,,,,
Test Cases/TestUpdateTransaction,Chrome 66.0.3359.139,,2018-05-10 13:54:57,2018-05-10 13:55:44,47.328s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 13:54:57,2018-05-10 13:55:00,2.831s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 13:55:00,2018-05-10 13:55:05,4.954s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 13:55:05,2018-05-10 13:55:05,0.169s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 13:55:05,2018-05-10 13:55:05,0.120s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 13:55:05,2018-05-10 13:55:05,0.117s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 13:55:05,2018-05-10 13:55:07,1.259s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-10 13:55:07,2018-05-10 13:55:12,5.027s,PASSED
Statement - oldTotalPrice = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(TestUpdateTransaction/Old admin total price)),Chrome 66.0.3359.139,,2018-05-10 13:55:12,2018-05-10 13:55:12,0.135s,PASSED
"Statement - oldTotalPrice = oldTotalPrice.replaceAll(""Total price: "", """")",Chrome 66.0.3359.139,,2018-05-10 13:55:12,2018-05-10 13:55:12,0.005s,PASSED
Statement - println(oldTotalPrice),Chrome 66.0.3359.139,,2018-05-10 13:55:12,2018-05-10 13:55:12,0.003s,PASSED
"Statement - oldTotalPrice = oldTotalPrice.replaceAll("" THB"", """")",Chrome 66.0.3359.139,,2018-05-10 13:55:12,2018-05-10 13:55:12,0.003s,PASSED
Statement - println(oldTotalPrice),Chrome 66.0.3359.139,,2018-05-10 13:55:12,2018-05-10 13:55:12,0.000s,PASSED
"Statement - oldTotalPrice = oldTotalPrice.replaceAll("","", """")",Chrome 66.0.3359.139,,2018-05-10 13:55:12,2018-05-10 13:55:12,0.004s,PASSED
Statement - println(oldTotalPrice),Chrome 66.0.3359.139,,2018-05-10 13:55:12,2018-05-10 13:55:12,0.001s,PASSED
Statement - oldTotalPrice = java.lang.Integer.parseInt(oldTotalPrice),Chrome 66.0.3359.139,,2018-05-10 13:55:12,2018-05-10 13:55:12,0.000s,PASSED
Statement - println(oldTotalPrice),Chrome 66.0.3359.139,,2018-05-10 13:55:12,2018-05-10 13:55:12,0.001s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 13:55:12,2018-05-10 13:55:12,0.105s,PASSED
