Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
UpdateTransaction,Chrome 66.0.3359.139,,2018-05-10 13:43:28,2018-05-10 13:45:50,2m - 21.663s,FAILED
,,,,,,
Test Cases/TestUpdateTransaction,Chrome 66.0.3359.139,,2018-05-10 13:43:28,2018-05-10 13:44:15,46.681s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 13:43:29,2018-05-10 13:43:32,3.685s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 13:43:32,2018-05-10 13:43:37,4.565s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 13:43:37,2018-05-10 13:43:37,0.166s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 13:43:37,2018-05-10 13:43:37,0.116s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 13:43:37,2018-05-10 13:43:37,0.096s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 13:43:37,2018-05-10 13:43:39,1.135s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-10 13:43:39,2018-05-10 13:43:44,5.016s,PASSED
Statement - oldTotalPrice = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(TestUpdateTransaction/Old admin total price)),Chrome 66.0.3359.139,,2018-05-10 13:43:44,2018-05-10 13:43:44,0.056s,PASSED
"Statement - oldTotalPrice = oldTotalPrice.replaceAll(""Total price: "", """")",Chrome 66.0.3359.139,,2018-05-10 13:43:44,2018-05-10 13:43:44,0.003s,PASSED
Statement - println(oldTotalPrice),Chrome 66.0.3359.139,,2018-05-10 13:43:44,2018-05-10 13:43:44,0.002s,PASSED
"Statement - oldTotalPrice = oldTotalPrice.replaceAll("" THB"", """")",Chrome 66.0.3359.139,,2018-05-10 13:43:44,2018-05-10 13:43:44,0.000s,PASSED
Statement - println(oldTotalPrice),Chrome 66.0.3359.139,,2018-05-10 13:43:44,2018-05-10 13:43:44,0.000s,PASSED
"Statement - oldTotalPrice = oldTotalPrice.replaceAll("","", """")",Chrome 66.0.3359.139,,2018-05-10 13:43:44,2018-05-10 13:43:44,0.001s,PASSED
Statement - println(oldTotalPrice),Chrome 66.0.3359.139,,2018-05-10 13:43:44,2018-05-10 13:43:44,0.000s,PASSED
Statement - oldTotalPrice = java.lang.Integer.parseInt(oldTotalPrice),Chrome 66.0.3359.139,,2018-05-10 13:43:44,2018-05-10 13:43:44,0.001s,PASSED
Statement - println(oldTotalPrice),Chrome 66.0.3359.139,,2018-05-10 13:43:44,2018-05-10 13:43:44,0.000s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 13:43:44,2018-05-10 13:43:44,0.081s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 13:43:44,2018-05-10 13:43:44,0.104s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 13:43:44,2018-05-10 13:43:44,0.107s,PASSED
