Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
UpdateTransaction,Chrome 66.0.3359.139,,2018-05-10 13:49:42,2018-05-10 13:52:04,2m - 22.879s,FAILED
,,,,,,
Test Cases/TestUpdateTransaction,Chrome 66.0.3359.139,,2018-05-10 13:49:42,2018-05-10 13:50:29,46.681s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 13:49:42,2018-05-10 13:49:46,3.737s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 13:49:46,2018-05-10 13:49:50,4.562s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 13:49:50,2018-05-10 13:49:51,0.156s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 13:49:51,2018-05-10 13:49:51,0.114s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 13:49:51,2018-05-10 13:49:51,0.117s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 13:49:51,2018-05-10 13:49:52,1.131s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-10 13:49:52,2018-05-10 13:49:57,5.015s,PASSED
Statement - oldTotalPrice = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(TestUpdateTransaction/Old admin total price)),Chrome 66.0.3359.139,,2018-05-10 13:49:57,2018-05-10 13:49:57,0.050s,PASSED
"Statement - oldTotalPrice = oldTotalPrice.replaceAll(""Total price: "", """")",Chrome 66.0.3359.139,,2018-05-10 13:49:57,2018-05-10 13:49:57,0.003s,PASSED
Statement - println(oldTotalPrice),Chrome 66.0.3359.139,,2018-05-10 13:49:57,2018-05-10 13:49:57,0.003s,PASSED
"Statement - oldTotalPrice = oldTotalPrice.replaceAll("" THB"", """")",Chrome 66.0.3359.139,,2018-05-10 13:49:57,2018-05-10 13:49:57,0.001s,PASSED
Statement - println(oldTotalPrice),Chrome 66.0.3359.139,,2018-05-10 13:49:57,2018-05-10 13:49:57,0.000s,PASSED
"Statement - oldTotalPrice = oldTotalPrice.replaceAll("","", """")",Chrome 66.0.3359.139,,2018-05-10 13:49:57,2018-05-10 13:49:57,0.001s,PASSED
Statement - println(oldTotalPrice),Chrome 66.0.3359.139,,2018-05-10 13:49:57,2018-05-10 13:49:57,0.001s,PASSED
Statement - oldTotalPrice = java.lang.Integer.parseInt(oldTotalPrice),Chrome 66.0.3359.139,,2018-05-10 13:49:57,2018-05-10 13:49:57,0.002s,PASSED
Statement - println(oldTotalPrice),Chrome 66.0.3359.139,,2018-05-10 13:49:57,2018-05-10 13:49:57,0.001s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 13:49:57,2018-05-10 13:49:57,0.080s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 13:49:57,2018-05-10 13:49:57,0.105s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 13:49:57,2018-05-10 13:49:57,0.103s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 13:49:57,2018-05-10 13:49:57,0.081s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 13:49:57,2018-05-10 13:49:57,0.072s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 13:49:57,2018-05-10 13:49:58,0.066s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 13:49:58,2018-05-10 13:49:58,0.071s,PASSED
Statement - UserTotalPrice = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(TestUpdateTransaction/User total price)),Chrome 66.0.3359.139,,2018-05-10 13:49:58,2018-05-10 13:49:58,0.031s,PASSED
"Statement - UserTotalPrice = UserTotalPrice.replaceAll(""Total price: "", """")",Chrome 66.0.3359.139,,2018-05-10 13:49:58,2018-05-10 13:49:58,0.000s,PASSED
Statement - println(UserTotalPrice),Chrome 66.0.3359.139,,2018-05-10 13:49:58,2018-05-10 13:49:58,0.001s,PASSED
"Statement - UserTotalPrice = UserTotalPrice.replaceAll("" THB"", """")",Chrome 66.0.3359.139,,2018-05-10 13:49:58,2018-05-10 13:49:58,0.000s,PASSED
Statement - println(UserTotalPrice),Chrome 66.0.3359.139,,2018-05-10 13:49:58,2018-05-10 13:49:58,0.001s,PASSED
