Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AdminLoginTestSuite,Chrome 66.0.3359.139,,2018-05-08 16:55:14,2018-05-08 16:55:27,13.090s,PASSED
,,,,,,
Test Cases/TestAdminLogin,Chrome 66.0.3359.139,,2018-05-08 16:55:14,2018-05-08 16:55:27,12.813s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-08 16:55:15,2018-05-08 16:55:18,3.687s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-08 16:55:18,2018-05-08 16:55:25,6.594s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-08 16:55:25,2018-05-08 16:55:25,0.164s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-08 16:55:25,2018-05-08 16:55:25,0.120s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 16:55:25,2018-05-08 16:55:25,0.109s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 16:55:25,2018-05-08 16:55:27,1.112s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 16:55:27,2018-05-08 16:55:27,0.096s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-08 16:55:27,2018-05-08 16:55:27,0.678s,PASSED
