Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
UpdateTransaction,Chrome 66.0.3359.139,,2018-05-10 14:05:00,2018-05-10 14:05:29,28.649s,PASSED
,,,,,,
Test Cases/TestUpdateTransaction,Chrome 66.0.3359.139,,2018-05-10 14:05:00,2018-05-10 14:05:29,28.262s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 14:05:01,2018-05-10 14:05:04,2.808s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 14:05:04,2018-05-10 14:05:09,4.921s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 14:05:09,2018-05-10 14:05:09,0.154s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 14:05:09,2018-05-10 14:05:09,0.179s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 14:05:09,2018-05-10 14:05:09,0.194s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 14:05:09,2018-05-10 14:05:10,1.175s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-10 14:05:10,2018-05-10 14:05:15,5.019s,PASSED
Statement - oldTotalPrice = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(TestUpdateTransaction/Old admin total price)),Chrome 66.0.3359.139,,2018-05-10 14:05:15,2018-05-10 14:05:15,0.107s,PASSED
"Statement - oldTotalPrice = oldTotalPrice.replaceAll(""Total price: "", """")",Chrome 66.0.3359.139,,2018-05-10 14:05:15,2018-05-10 14:05:15,0.005s,PASSED
Statement - println(oldTotalPrice),Chrome 66.0.3359.139,,2018-05-10 14:05:15,2018-05-10 14:05:15,0.002s,PASSED
"Statement - oldTotalPrice = oldTotalPrice.replaceAll("" THB"", """")",Chrome 66.0.3359.139,,2018-05-10 14:05:15,2018-05-10 14:05:15,0.000s,PASSED
Statement - println(oldTotalPrice),Chrome 66.0.3359.139,,2018-05-10 14:05:15,2018-05-10 14:05:15,0.001s,PASSED
"Statement - oldTotalPrice = oldTotalPrice.replaceAll("","", """")",Chrome 66.0.3359.139,,2018-05-10 14:05:15,2018-05-10 14:05:15,0.001s,PASSED
